"Division";"Classe";"Ordre";"SPECIES_NumSysCPerm";"SPECIES_CPerm";"SPECIES_AphiaID";"SPECIES_NAME";"SELECT_ATL";"SELECT_MAN";"SELECT_MED";"RASTERname_ATL";"RASTERname_MAN";"RASTERname_MED";"Groupe"
"Bryozoa";"Stenolaemata";"Cyclostomatida";"56921111.7205";7205;158351;"Crisia";0;0;0;NA;NA;NA;"Bryozoa"
"Annelida";"Polychaeta";"Sabellida";"39370000.209";209;130595;"Serpulidae";0;0;0;NA;NA;NA;"Annelida"
"Mollusca";"Gastropoda";"Littorinimorpha";"65500000.268";268;138961;"Crepidula fornicata";0;0;0;NA;NA;NA;"Mollusca"
"Porifera";NA;NA;"14500000.7";7;558;"Porifera";0;0;0;NA;NA;NA;"Porifera"
"Cnidaria";"Hydrozoa";"Leptothecata";"23105000.12802";12802;NA;"Diphasia margareta";0;0;0;NA;NA;NA;"Cnidaria"
"Bryozoa";"Gymnolaemata";"Cheilostomatida";"56783500.4762";4762;133147;"Cellaria";0;0;0;NA;NA;NA;"Bryozoa"
"Cnidaria";"Hydrozoa";"Leptothecata";"23000000.6740";6740;1606;"Sertulariidae";0;0;0;NA;NA;NA;"Cnidaria"
"Cnidaria";"Hydrozoa";"Leptothecata";"23200000.11268";11268;134106;"Sertularella";0;0;0;NA;NA;NA;"Cnidaria"
"Cnidaria";"Hydrozoa";NA;"15800001.12";12;1337;"Hydrozoa";0;0;0;NA;NA;NA;"Cnidaria"
"Bryozoa";"Gymnolaemata";"Cheilostomatida";"56774600.6222";6222;134687;"Phidoloporidae";0;0;0;NA;NA;NA;"Bryozoa"
"Bryozoa";"Gymnolaemata";"Cheilostomatida";"56777640.6669";6669;110722;"Pentapora fascialis";0;0;0;NA;NA;NA;"Bryozoa"
"Bryozoa";NA;NA;"56600001.224";224;128545;"Bryozoa";0;0;0;NA;NA;NA;"Bryozoa"
"Cnidaria";"Hydrozoa";"Leptothecata";"23010100.4622";4622;159304;"Abietinaria abietina";0;0;0;NA;NA;NA;"Cnidaria"
"Cnidaria";"Hydrozoa";"Leptothecata";"23701400.6134";6134;532035;"Lytocarpia myriophyllum";0;0;0;NA;NA;NA;"Cnidaria"
"Echinodermata";"Echinoidea";"Camarodonta";"212735200.6130";6130;125796;"Gracilechinus elegans";0;0;0;NA;NA;NA;"Echinodermata"
"Cnidaria";"Hydrozoa";"Leptothecata";"23202000.12820";12820;NA;"Sertularella gayi";0;0;0;NA;NA;NA;"Cnidaria"
"Cnidaria";"Hydrozoa";"Leptothecata";"23700200.4667";4667;107462;"Nemertesia ramosa";0;0;0;NA;NA;NA;"Cnidaria"
"Cnidaria";"Hydrozoa";"Leptothecata";"23700150.4682";4682;132046;"Nemertesia antennina";0;0;0;NA;NA;NA;"Cnidaria"
"Bryozoa";"Gymnolaemata";"Ctenostomatida";"56900000.3974";3974;123320;"Alcyonidium";0;0;0;NA;NA;NA;"Bryozoa"
"Chordata";"Ascidiacea";NA;"217600000.1182";1182;178738;"Ascidiacea";0;0;0;NA;NA;NA;"Chordata"
"Cnidaria";"Hydrozoa";"Leptothecata";"23151000.4685";4685;150457;"Hydrallmania falcata";0;0;0;NA;NA;NA;"Cnidaria"
"Cnidaria";"Anthozoa";"Actiniaria";"28800000.2224";2224;106422;"Actiniaria";0;0;0;NA;NA;NA;"Cnidaria"
"Cnidaria";"Hydrozoa";"Leptothecata";"23700550.12804";12804;NA;"Polyplumaria flabellata";0;0;0;NA;NA;NA;"Cnidaria"
"Cnidaria";"Hydrozoa";"Leptothecata";"23300500.4739";4739;100833;"Sertularia cupressina";0;0;0;NA;NA;NA;"Cnidaria"
"Cnidaria";"Hydrozoa";"Leptothecata";"22501530.4736";4736;1362;"Halecium halecinum";0;0;0;NA;NA;NA;"Cnidaria"
"Cnidaria";"Hydrozoa";"Anthoathecata";"20852112.4687";4687;117809;"Hydractinia echinata";0;0;0;NA;NA;NA;"Cnidaria"
"Porifera";"Demospongiae";"Hadromerida";"15111200.4656";4656;123175;"Suberites ficus";0;0;0;NA;NA;NA;"Porifera"
"Porifera";"Demospongiae";"Halichondrida";"15000550.6129";6129;126539;"Axinella infundibuliformis";0;0;0;NA;NA;NA;"Porifera"
"Porifera";"Demospongiae";"Poecilosclerida";"15508255.12027";12027;NA;"Desmacidon fruticosum";0;0;0;NA;NA;NA;"Porifera"
"Cnidaria";"Hydrozoa";"Leptothecata";"23100000.4638";4638;138855;"Diphasia";0;0;0;NA;NA;NA;"Cnidaria"
"Cnidaria";"Hydrozoa";"Leptothecata";"23405000.7504";7504;117226;"Tamarisca tamarisca";0;0;0;NA;NA;NA;"Cnidaria"
"Bryozoa";"Gymnolaemata";"Cheilostomatida";"56788100.3549";3549;504506;"Flustra foliacea";0;0;0;NA;NA;NA;"Bryozoa"
"Cnidaria";"Anthozoa";"Scleractinia";"28900000.4731";4731;106118;"Scleractinia";0;0;0;NA;NA;NA;"Cnidaria"
"Cnidaria";"Anthozoa";"Zoantharia";"30011200.4418";4418;178639;"Epizoanthus incrustatus";0;0;0;NA;NA;NA;"Cnidaria"
"Annelida";"Polychaeta";NA;"38000000.153";153;129472;"Polychaeta";0;0;0;NA;NA;NA;"Annelida"
"Cnidaria";"Anthozoa";"Alcyonacea";"30821300.4386";4386;107322;"Alcyonium glomeratum";0;0;0;NA;NA;NA;"Cnidaria"
"Cnidaria";"Anthozoa";"Scleractinia";"28921100.7230";7230;135341;"Madrepora oculata";0;0;0;NA;NA;NA;"Cnidaria"
"Bryozoa";"Gymnolaemata";"Cheilostomatida";"56762020.4766";4766;110869;"Porella compressa";0;0;0;NA;NA;NA;"Bryozoa"
"Cnidaria";"Hydrozoa";"Leptothecata";"23100100.12801";12801;NA;"Diphasia alata";0;0;0;NA;NA;NA;"Cnidaria"
"Bryozoa";"Gymnolaemata";"Cheilostomatida";"56600100.6665";6665;91;"Cheilostomatida";0;0;0;NA;NA;NA;"Bryozoa"
"Annelida";"Polychaeta";"Sabellida";"39370315.4646";4646;1269;"Filograna implexa";0;0;0;NA;NA;NA;"Annelida"
"Cnidaria";"Hydrozoa";"Anthoathecata";"20860000.7288";7288;393018;"Stylasteridae";0;0;0;NA;NA;NA;"Cnidaria"
"Cnidaria";"Hydrozoa";"Leptothecata";"23681400.12808";12808;NA;"Schizotricha frutescens";0;0;0;NA;NA;NA;"Cnidaria"
"Cnidaria";NA;NA;"15600000.11";11;1267;"Cnidaria";0;0;0;NA;NA;NA;"Cnidaria"
"Mollusca";"Scaphopoda";"Dentaliida";"110550000.4397";4397;127301;"Antalis";0;0;0;NA;NA;NA;"Mollusca"
"Porifera";"Demospongiae";"Hadromerida";"15310000.4678";4678;100854;"Polymastia";0;0;0;NA;NA;NA;"Porifera"
"Bryozoa";"Gymnolaemata";"Cheilostomatida";"56785300.4647";4647;110358;"Flustridae";0;0;0;NA;NA;NA;"Bryozoa"
"Bryozoa";"Gymnolaemata";"Cheilostomatida";"56789800.4677";4677;100716;"Securiflustra securifrons";0;0;0;NA;NA;NA;"Bryozoa"
"Bryozoa";"Gymnolaemata";"Ctenostomatida";"56900050.4627";4627;100750;"Alcyonidium diaphanum";0;0;0;NA;NA;NA;"Bryozoa"
"Bryozoa";"Gymnolaemata";"Ctenostomatida";"56900300.6228";6228;111448;"Alcyonidium parasiticum";0;0;0;NA;NA;NA;"Bryozoa"
"Cnidaria";"Hydrozoa";"Leptothecata";"23300000.4738";4738;16327;"Sertularia";0;0;0;NA;NA;NA;"Cnidaria"
"Bryozoa";"Gymnolaemata";"Cheilostomatida";"56721010.6223";6223;134705;"Reteporella";0;0;0;NA;NA;NA;"Bryozoa"
"Annelida";"Polychaeta";"Sabellida";"39368700.3875";3875;138478;"Sabellaria";0;0;0;NA;NA;NA;"Annelida"
"Cnidaria";"Hydrozoa";"Leptothecata";"23105500.12805";12805;NA;"Diphasia nigra";0;0;0;NA;NA;NA;"Cnidaria"
"Cnidaria";"Hydrozoa";"Leptothecata";"23700100.4666";4666;106968;"Nemertesia";0;0;0;NA;NA;NA;"Cnidaria"
"Porifera";"Demospongiae";"Astrophorida";"14910100.4754";4754;122478;"Pachymatisma johnstonia";0;0;0;NA;NA;NA;"Porifera"
"Mollusca";"Cephalopoda";"Myopsida";"114250000.490";490;140271;"Loligo forbesii";0;0;0;NA;NA;NA;"Mollusca"
"Mollusca";"Bivalvia";"Pectinoida";"84656100.363";363;138323;"Pecten maximus";0;0;0;NA;NA;NA;"Mollusca"
"Mollusca";"Cephalopoda";"Sepiida";"111500000.468";468;141444;"Sepia elegans";0;0;0;NA;NA;NA;"Mollusca"
"Mollusca";"Cephalopoda";"Sepiida";"111600000.469";469;141443;"Sepia orbignyana";0;0;0;NA;NA;NA;"Mollusca"
"Mollusca";"Cephalopoda";"Oegopsida";"117001000.508";508;140621;"Todaropsis eblanae";0;0;0;NA;NA;NA;"Mollusca"
"Mollusca";"Cephalopoda";"Myopsida";"114400000.491";491;140270;"Alloteuthis";0;0;0;NA;NA;NA;"Mollusca"
"Arthropoda";"Malacostraca";"Decapoda";"191000000.1054";1054;106876;"Cancer pagurus";0;0;0;NA;NA;NA;"Arthropoda"
"Mollusca";"Cephalopoda";"Oegopsida";"116600100.507";507;11760;"Illex coindetii";0;0;0;NA;NA;NA;"Mollusca"
"Arthropoda";"Malacostraca";"Decapoda";"170900000.907";907;106978;"Alpheus glaber";0;0;0;NA;NA;NA;"Arthropoda"
"Echinodermata";"Asteroidea";"Valvatida";"206300000.1145";1145;1806;"Anseropoda placenta";0;0;0;NA;NA;NA;"Echinodermata"
"Echinodermata";"Asteroidea";"Paxillosida";"205021100.7689";7689;206265;"Astropecten irregularis";0;0;0;NA;NA;NA;"Echinodermata"
"Arthropoda";"Malacostraca";"Decapoda";"173900000.932";932;107552;"Crangon allmanni";0;0;0;NA;NA;NA;"Arthropoda"
"Mollusca";"Cephalopoda";"Octopoda";"119200000.522";522;140601;"Eledone cirrhosa";0;0;0;NA;NA;NA;"Mollusca"
"Arthropoda";"Malacostraca";"Decapoda";"193300000.1069";1069;106925;"Liocarcinus depurator";1;0;0;NA;NA;NA;"Arthropoda"
"Arthropoda";"Malacostraca";"Decapoda";"193400000.1070";1070;NA;"Liocarcinus holsatus";0;0;0;NA;NA;NA;"Arthropoda"
"Echinodermata";"Asteroidea";"Paxillosida";"205011200.4414";4414;1762;"Luidia sarsii";0;0;0;NA;NA;NA;"Echinodermata"
"Arthropoda";"Malacostraca";"Decapoda";"200967000.1135";1135;107343;"Macropodia tenuirostris";0;0;0;NA;NA;NA;"Arthropoda"
"Arthropoda";"Malacostraca";"Decapoda";"193950000.1066";1066;106926;"Macropipus tuberculatus";0;0;0;NA;NA;NA;"Arthropoda"
"Arthropoda";"Malacostraca";"Decapoda";"185300000.1016";1016;106835;"Munida rugosa";0;0;0;NA;NA;NA;"Arthropoda"
"Arthropoda";"Malacostraca";"Decapoda";"178804000.949";949;106863;"Nephrops norvegicus";0;0;0;NA;NA;NA;"Arthropoda"
"Echinodermata";"Ophiuroidea";"Ophiurida";"209600100.1155";1155;123117;"Ophiura ophiura";0;0;0;NA;NA;NA;"Echinodermata"
"Arthropoda";"Malacostraca";"Decapoda";"182570000.994";994;106854;"Pagurus prideaux";0;0;0;NA;NA;NA;"Arthropoda"
"Cnidaria";"Anthozoa";"Pennatulacea";"31115000.134";134;125334;"Pennatula phosphorea";1;0;0;NA;NA;NA;"Cnidaria"
"Arthropoda";"Malacostraca";"Decapoda";"174800000.941";941;108207;"Philocheras echinulatus";0;0;0;NA;NA;NA;"Arthropoda"
"Arthropoda";"Malacostraca";"Decapoda";"174100000.934";934;107011;"Pontophilus spinosus";0;0;0;NA;NA;NA;"Arthropoda"
"Arthropoda";"Malacostraca";"Decapoda";"171500000.911";911;106791;"Processa";0;0;0;NA;NA;NA;"Arthropoda"
"Arthropoda";"Malacostraca";"Stomatopoda";"145451121.833";833;136112;"Rissoides desmaresti";0;0;0;NA;NA;NA;"Arthropoda"
"Mollusca";"Gastropoda";"Cephalaspidea";"73350110.318";318;140744;"Scaphander lignarius";0;0;0;NA;NA;NA;"Mollusca"
"Mollusca";"Cephalopoda";"Sepiolida";"112800000.476";476;141448;"Sepiola";0;0;0;NA;NA;NA;"Mollusca"
"Echinodermata";"Asteroidea";"Forcipulatida";"204538100.4660";4660;134285;"Stichastrella rosea";0;0;0;NA;NA;NA;"Echinodermata"
"Cnidaria";"Anthozoa";"Actiniaria";"28832100.4626";4626;117870;"Adamsia carciniopados";0;0;0;NA;NA;NA;"Cnidaria"
"Annelida";"Polychaeta";"Phyllodocida";"38101110.155";155;938;"Aphrodita aculeata";0;0;0;NA;NA;NA;"Annelida"
"Chordata";"Ascidiacea";"Phlebobranchia";"217600600.3943";3943;205010;"Ascidia";0;0;0;NA;NA;NA;"Chordata"
"Echinodermata";"Echinoidea";"Spatangoida";"213150000.2408";2408;123974;"Spatangus purpureus";0;0;0;NA;NA;NA;"Echinodermata"
"Arthropoda";"Malacostraca";"Decapoda";"185260000.1017";1017;107160;"Munida intermedia";0;0;0;NA;NA;NA;"Arthropoda"
"Mollusca";"Gastropoda";"Neogastropoda";"70600000.300";300;137701;"Buccinum undatum";0;0;0;NA;NA;NA;"Mollusca"
"Mollusca";"Cephalopoda";"Sepiolida";"111900000.471";471;11725;"Rossia macrosoma";0;0;0;NA;NA;NA;"Mollusca"
"Echinodermata";"Holothuroidea";"Aspidochirotida";"214720100.1177";1177;123083;"Parastichopus regalis";0;0;0;NA;NA;NA;"Echinodermata"
"Echinodermata";"Asteroidea";"Valvatida";"208456500.7688";7688;415969;"Porania (Porania) pulvillus";0;0;0;NA;NA;NA;"Echinodermata"
"Arthropoda";"Malacostraca";"Decapoda";"200960000.1131";1131;107327;"Macropodia";0;0;0;NA;NA;NA;"Arthropoda"
"Echinodermata";"Ophiuroidea";"Ophiurida";"210801000.3550";3550;NA;"Ophiothrix luetkeni";0;0;0;NA;NA;NA;"Echinodermata"
"Echinodermata";"Ophiuroidea";"Ophiurida";"210450000.4398";4398;126925;"Ophiocomina nigra";0;0;0;NA;NA;NA;"Echinodermata"
"Echinodermata";"Asteroidea";"Paxillosida";"205011100.3009";3009;181504;"Luidia ciliaris";0;0;0;NA;NA;NA;"Echinodermata"
"Annelida";"Polychaeta";"Eunicida";"38401210.3241";3241;275544;"Hyalinoecia tubicola";0;0;0;NA;NA;NA;"Annelida"
"Annelida";"Polychaeta";"Phyllodocida";"38101400.4298";4298;106774;"Laetmonice";0;0;0;NA;NA;NA;"Annelida"
"Echinodermata";"Crinoidea";"Comatulida";"204121000.4211";4211;152370;"Leptometra celtica";0;0;0;NA;NA;NA;"Echinodermata"
"Cnidaria";"Anthozoa";"Pennatulacea";"31031100.6804";6804;123183;"Funiculina quadrangularis";0;0;0;NA;NA;NA;"Cnidaria"
"Mollusca";"Bivalvia";"Arcoida";"81200450.342";342;209;"Glycymeris glycymeris";0;0;0;NA;NA;NA;"Mollusca"
"Arthropoda";"Malacostraca";"Decapoda";"200943000.1128";1128;106905;"Inachus dorsettensis";0;0;0;NA;NA;NA;"Arthropoda"
"Echinodermata";"Asteroidea";"Valvatida";"208200700.11955";11955;439563;"Tethyaster subinermis";0;0;0;NA;NA;NA;"Echinodermata"
"Arthropoda";"Malacostraca";"Decapoda";"190600000.1050";1050;106875;"Atelecyclus rotundatus";0;0;0;NA;NA;NA;"Arthropoda"
"Echinodermata";"Asteroidea";"Forcipulatida";"204535100.1146";1146;123081;"Marthasterias glacialis";0;0;0;NA;NA;NA;"Echinodermata"
"Arthropoda";"Malacostraca";"Decapoda";"178700000.962";962;107062;"Scyllarus arctus";0;0;0;NA;NA;NA;"Arthropoda"
"Arthropoda";"Malacostraca";"Decapoda";"164400000.858";858;106825;"Solenocera membranacea";0;0;0;NA;NA;NA;"Arthropoda"
"Cnidaria";"Anthozoa";"Actiniaria";"28831000.4623";4623;117258;"Actinauge";0;0;0;NA;NA;NA;"Cnidaria"
"Echinodermata";"Crinoidea";"Comatulida";"204112000.7390";7390;158584;"Antedon petasus";0;0;0;NA;NA;NA;"Echinodermata"
"Cnidaria";"Anthozoa";"Actiniaria";"28834100.4378";4378;282196;"Calliactis parasitica";0;0;0;NA;NA;NA;"Cnidaria"
"Echinodermata";"Echinoidea";"Camarodonta";"212735100.4235";4235;103272;"Gracilechinus acutus";0;0;0;NA;NA;NA;"Echinodermata"
"Echinodermata";"Asteroidea";"Spinulosida";"208750000.3577";3577;271073;"Henricia";0;0;0;NA;NA;NA;"Echinodermata"
"Arthropoda";"Malacostraca";"Decapoda";"198400000.1103";1103;107473;"Goneplax rhomboides";0;0;0;NA;NA;NA;"Arthropoda"
"Arthropoda";"Malacostraca";"Decapoda";"193852000.1077";1077;107390;"Polybius henslowii";0;0;0;NA;NA;NA;"Arthropoda"
"Echinodermata";"Asteroidea";"Forcipulatida";"204532100.1148";1148;123985;"Asterias rubens";0;0;0;NA;NA;NA;"Echinodermata"
"Echinodermata";"Echinoidea";"Camarodonta";"212731300.1168";1168;124316;"Echinus esculentus";0;0;0;NA;NA;NA;"Echinodermata"
"Arthropoda";"Malacostraca";"Decapoda";"193800000.1074";1074;107392;"Liocarcinus marmoreus";0;0;0;NA;NA;NA;"Arthropoda"
"Mollusca";"Cephalopoda";"Myopsida";"114200000.489";489;138139;"Loligo vulgaris";0;0;0;NA;NA;NA;"Mollusca"
"Arthropoda";"Malacostraca";"Decapoda";"194100000.1076";1076;107389;"Necora puber";0;0;0;NA;NA;NA;"Arthropoda"
"Arthropoda";"Malacostraca";"Decapoda";"182520000.995";995;107239;"Pagurus bernhardus";0;0;0;NA;NA;NA;"Arthropoda"
"Arthropoda";"Malacostraca";"Decapoda";"182540000.997";997;107240;"Pagurus cuanensis";0;0;0;NA;NA;NA;"Arthropoda"
"Mollusca";"Bivalvia";"Pterioida";"83400000.355";355;1775;"Pteria hirundo";0;0;0;NA;NA;NA;"Mollusca"
"Mollusca";"Gastropoda";"[unassigned] Caenogastropoda";"62400000.250";250;138615;"Turritella communis";0;0;0;NA;NA;NA;"Mollusca"
"Cnidaria";"Anthozoa";"Alcyonacea";"30821200.3021";3021;10527;"Alcyonium digitatum";0;0;0;NA;NA;NA;"Cnidaria"
"Arthropoda";"Malacostraca";"Decapoda";"190700000.1051";1051;107273;"Atelecyclus undecimdentatus";0;0;0;NA;NA;NA;"Arthropoda"
"Echinodermata";"Holothuroidea";NA;"213500000.1174";1174;124318;"Holothuroidea";0;0;0;NA;NA;NA;"Echinodermata"
"Arthropoda";"Malacostraca";"Decapoda";"173800000.931";931;107007;"Crangon crangon";0;0;0;NA;NA;NA;"Arthropoda"
"Echinodermata";"Echinoidea";"Spatangoida";"213161110.1164";1164;236130;"Echinocardium cordatum";0;0;0;NA;NA;NA;"Echinodermata"
"Arthropoda";"Malacostraca";"Decapoda";"193820000.1075";1075;NA;"Liocarcinus vernalis";0;0;0;NA;NA;NA;"Arthropoda"
"Arthropoda";"Malacostraca";"Decapoda";"199113100.1110";1110;107450;"Maja brachydactyla";0;0;0;NA;NA;NA;"Arthropoda"
"Mollusca";"Cephalopoda";"Sepiida";"111400000.467";467;138477;"Sepia officinalis";0;0;0;NA;NA;NA;"Mollusca"
"Mollusca";"Gastropoda";"Littorinimorpha";"64600000.261";261;137656;"Aporrhais pespelecani";0;0;0;NA;NA;NA;"Mollusca"
"Arthropoda";"Malacostraca";"Decapoda";"200966000.1136";1136;107341;"Macropodia rostrata";0;0;0;NA;NA;NA;"Arthropoda"
"Arthropoda";"Malacostraca";"Decapoda";"183900000.1007";1007;107215;"Anapagurus laevis";0;0;0;NA;NA;NA;"Arthropoda"
"Annelida";NA;NA;"37950001.150";150;458878;"Annelida";0;0;0;NA;NA;NA;"Annelida"
"Cnidaria";"Anthozoa";NA;"30700000.2226";2226;1340;"Octocorallia";0;0;0;NA;NA;NA;"Cnidaria"
"Mollusca";"Gastropoda";"Neogastropoda";"70700000.301";301;138878;"Buccinum humphreysianum";0;0;0;NA;NA;NA;"Mollusca"
"Arthropoda";"Malacostraca";"Decapoda";"166650100.3195";3195;125611;"Dichelopandalus bonnieri";0;0;0;NA;NA;NA;"Arthropoda"
"Mollusca";"Gastropoda";"Littorinimorpha";"65620000.7104";7104;23045;"Lamellaria perspicua";0;0;0;NA;NA;NA;"Mollusca"
"Arthropoda";"Malacostraca";"Decapoda";"165800000.868";868;107676;"Pasiphaea sivado";0;0;0;NA;NA;NA;"Arthropoda"
"Arthropoda";"Malacostraca";"Decapoda";"167700000.883";883;107659;"Plesionika heterocarpus";0;0;0;NA;NA;NA;"Arthropoda"
"Mollusca";"Cephalopoda";"Octopoda";"119400000.523";523;140600;"Bathypolypus sponsalis";0;0;0;NA;NA;NA;"Mollusca"
"Arthropoda";"Malacostraca";"Decapoda";"176800000.953";953;107253;"Polycheles typhlops";0;0;0;NA;NA;NA;"Arthropoda"
"Arthropoda";"Malacostraca";"Decapoda";"182550000.999";999;107230;"Pagurus excavatus";0;0;0;NA;NA;NA;"Arthropoda"
"Mollusca";"Bivalvia";"Myoida";"108002500.6674";6674;110827;"Xylophaga dorsalis";0;0;0;NA;NA;NA;"Mollusca"
"Arthropoda";"Malacostraca";"Decapoda";"199111100.1119";1119;107353;"Eurynome aspera";0;0;0;NA;NA;NA;"Arthropoda"
"Echinodermata";"Asteroidea";"Brisingida";"204505111.7197";7197;124048;"Hymenodiscus coronata";0;0;0;NA;NA;NA;"Echinodermata"
"Mollusca";"Gastropoda";"Nudibranchia";"77263100.2418";2418;137914;"Jorunna tomentosa";0;0;0;NA;NA;NA;"Mollusca"
"Arthropoda";"Malacostraca";"Decapoda";"182510000.998";998;107235;"Pagurus alatus";0;0;0;NA;NA;NA;"Arthropoda"
